period,accounts,category,amount,month,running_total
01-09-2025,Upi,Transport,95,2025-09,282401.96
01-09-2025,Upi,Food,1080,2025-09,282401.96
01-09-2025,Upi,Food,35,2025-09,282401.96
01-09-2025,Upi,Rent,10517,2025-09,282401.96
29-08-2025,Upi,Transport,2790,2025-08,270674.96
27-08-2025,Upi,Gift,427,2025-08,267884.96
27-08-2025,Upi,Food,166,2025-08,267884.96
23-08-2025,Upi,Transport,400,2025-08,267291.96
23-08-2025,Upi,Transport,4200,2025-08,267291.96
22-08-2025,Upi,Transport,2100,2025-08,262691.96
21-08-2025,Upi,Apparel,833,2025-08,260591.96000000002
20-08-2025,Upi,Food,96,2025-08,259758.96000000002
19-08-2025,Upi,Recharge,471,2025-08,259662.96000000002
19-08-2025,Upi,Food,90,2025-08,259662.96000000002
18-08-2025,Upi,Food,181,2025-08,259101.96000000002
15-08-2025,Upi,Apparel,704,2025-08,258920.96000000002
12-08-2025,Upi,Apparel,356,2025-08,258216.96000000002
12-08-2025,Upi,Food,25,2025-08,258216.96000000002
10-08-2025,Upi,Apparel,499,2025-08,257835.96000000002
10-08-2025,Upi,Transport,400,2025-08,257835.96000000002
10-08-2025,Upi,Food,750,2025-08,257835.96000000002
08-08-2025,Upi,Food,35,2025-08,256186.96000000002
07-08-2025,Upi,Transport,314,2025-08,256151.96000000002
06-08-2025,Upi,Food,10,2025-08,255837.96000000002
05-08-2025,Upi,Gift,211,2025-08,255827.96000000002
04-08-2025,Upi,Food,214,2025-08,255616.96000000002
03-08-2025,Upi,Recharge,588,2025-08,255402.96000000002
03-08-2025,Upi,Food,210,2025-08,255402.96000000002
02-08-2025,Upi,Rent,649,2025-08,254604.96000000002
02-08-2025,Upi,Transport,501,2025-08,254604.96000000002
02-08-2025,Upi,Beauty,288,2025-08,254604.96000000002
01-08-2025,Upi,Food,900,2025-08,253166.96000000002
01-08-2025,Upi,Recharge,899,2025-08,253166.96000000002
31-07-2025,Upi,Food,1000,2025-07,251367.96000000002
31-07-2025,Upi,Food,127,2025-07,251367.96000000002
30-07-2025,Upi,Food,475,2025-07,250240.96000000002
29-07-2025,Upi,Food,45,2025-07,249765.96000000002
28-07-2025,Upi,Transport,400,2025-07,249720.96000000002
28-07-2025,Upi,Food,276,2025-07,249720.96000000002
28-07-2025,Upi,Food,11,2025-07,249720.96000000002
24-07-2025,Upi,Food,189,2025-07,249033.96000000002
24-07-2025,Upi,Household,824,2025-07,249033.96000000002
24-07-2025,Upi,Food,11,2025-07,249033.96000000002
24-07-2025,Upi,Apparel,390,2025-07,249033.96000000002
22-07-2025,Upi,Food,11,2025-07,247619.96000000002
21-07-2025,Upi,Transport,200,2025-07,247608.96000000002
21-07-2025,Upi,Food,30,2025-07,247608.96000000002
21-07-2025,Upi,Food,185,2025-07,247608.96000000002
20-07-2025,Upi,Recharge,471,2025-07,247193.96000000002
20-07-2025,Upi,Social Life,1500,2025-07,247193.96000000002
17-07-2025,Upi,Food,400,2025-07,245222.96000000002
17-07-2025,Upi,Food,145,2025-07,245222.96000000002
16-07-2025,Upi,Transport,400,2025-07,244677.96000000002
15-07-2025,Upi,Food,101,2025-07,244277.96000000002
10-07-2025,Upi,Food,31,2025-07,244176.96000000002
09-07-2025,Upi,Social Life,398,2025-07,244145.96000000002
09-07-2025,Upi,Health,300,2025-07,244145.96000000002
08-07-2025,Upi,Recharge,548,2025-07,243447.96000000002
08-07-2025,Upi,Food,140,2025-07,243447.96000000002
07-07-2025,Upi,Transport,447,2025-07,242759.96000000002
05-07-2025,Upi,Food,255,2025-07,242312.96000000002
05-07-2025,Upi,Recharge,588,2025-07,242312.96000000002
04-07-2025,Upi,Food,99,2025-07,241469.96000000002
02-07-2025,Upi,Household,428,2025-07,241370.96000000002
02-07-2025,Upi,Transport,491,2025-07,241370.96000000002
02-07-2025,Upi,Rent,11679,2025-07,241370.96000000002
01-07-2025,Upi,Food,45,2025-07,228772.96000000002
30-06-2025,Upi,Food,22,2025-06,228727.96000000002
25-06-2025,Upi,Transport,487,2025-06,228705.96000000002
25-06-2025,Upi,Food,60,2025-06,228705.96000000002
25-06-2025,Upi,Food,60,2025-06,228705.96000000002
23-06-2025,Upi,Food,30,2025-06,228098.96000000002
20-06-2025,Upi,Food,53,2025-06,228068.96000000002
19-06-2025,Upi,Food,80,2025-06,228015.96000000002
18-06-2025,Upi,Food,108,2025-06,227935.96000000002
17-06-2025,Upi,Beauty,350,2025-06,227827.96000000002
17-06-2025,Upi,Food,144,2025-06,227827.96000000002
17-06-2025,Upi,Food,100,2025-06,227827.96000000002
16-06-2025,Upi,Food,105,2025-06,227233.96000000002
15-06-2025,Upi,Transport,400,2025-06,227128.96000000002
15-06-2025,Upi,Beauty,852,2025-06,227128.96000000002
15-06-2025,Upi,Food,146,2025-06,227128.96000000002
12-06-2025,Upi,Food,60,2025-06,225730.96000000002
12-06-2025,Upi,Apparel,199,2025-06,225730.96000000002
12-06-2025,Upi,Food,90,2025-06,225730.96000000002
11-06-2025,Upi,Transport,300,2025-06,225381.96000000002
10-06-2025,Upi,Food,45,2025-06,225081.96000000002
10-06-2025,Upi,Food,54,2025-06,225081.96000000002
09-06-2025,Upi,Food,87,2025-06,224982.96000000002
08-06-2025,Upi,Recharge,1136,2025-06,224895.96000000002
07-06-2025,Upi,Transport,400,2025-06,223759.96000000002
07-06-2025,Upi,Other,550,2025-06,223759.96000000002
06-06-2025,Upi,Food,144,2025-06,222809.96000000002
05-06-2025,Upi,Education,259,2025-06,222665.96000000002
05-06-2025,Upi,Food,90,2025-06,222665.96000000002
05-06-2025,Upi,Food,30,2025-06,222665.96000000002
03-06-2025,Upi,Food,87,2025-06,222286.96000000002
02-06-2025,Upi,Transport,300,2025-06,222199.96000000002
02-06-2025,Upi,Food,121,2025-06,222199.96000000002
02-06-2025,Upi,Apparel,3999,2025-06,222199.96000000002
01-06-2025,Upi,Rent,11649,2025-06,217779.96000000002
30-05-2025,Upi,Food,20,2025-05,206130.96000000002
29-05-2025,Upi,Apparel,-210,2025-05,206110.96000000002
29-05-2025,Upi,Food,30,2025-05,206110.96000000002
29-05-2025,Upi,Household,246,2025-05,206110.96000000002
28-05-2025,Upi,Food,115,2025-05,206044.96000000002
27-05-2025,Upi,Food,64,2025-05,205929.96000000002
27-05-2025,Upi,Food,70,2025-05,205929.96000000002
25-05-2025,Upi,Beauty,210,2025-05,205795.96000000002
25-05-2025,Upi,Apparel,198,2025-05,205795.96000000002
25-05-2025,Upi,Transport,300,2025-05,205795.96000000002
25-05-2025,Upi,Food,1985,2025-05,205795.96000000002
24-05-2025,Upi,Other,424,2025-05,203102.96000000002
23-05-2025,Upi,Food,93,2025-05,202678.96000000002
22-05-2025,Upi,Food,11,2025-05,202585.96000000002
21-05-2025,Upi,Transport,300,2025-05,202574.96000000002
21-05-2025,Upi,Food,120,2025-05,202574.96000000002
21-05-2025,Upi,Recharge,219,2025-05,202574.96000000002
20-05-2025,Upi,Food,168,2025-05,201935.96000000002
20-05-2025,Upi,Food,25,2025-05,201935.96000000002
20-05-2025,Upi,Food,25,2025-05,201935.96000000002
20-05-2025,Upi,Food,168,2025-05,201935.96000000002
20-05-2025,Upi,Household,120,2025-05,201935.96000000002
18-05-2025,Upi,Other,100,2025-05,201429.96000000002
18-05-2025,Upi,Food,240,2025-05,201429.96000000002
18-05-2025,Upi,Recharge,471,2025-05,201429.96000000002
17-05-2025,Upi,Beauty,279,2025-05,200618.96000000002
15-05-2025,Upi,Food,40,2025-05,200339.96000000002
14-05-2025,Upi,Food,438,2025-05,200299.96000000002
13-05-2025,Upi,Food,16,2025-05,199861.96000000002
13-05-2025,Upi,Recharge,100,2025-05,199861.96000000002
08-05-2025,Upi,Food,150,2025-05,199745.96000000002
08-05-2025,Upi,Food,150,2025-05,199745.96000000002
08-05-2025,Upi,Transport,434,2025-05,199745.96000000002
08-05-2025,Upi,Apparel,25,2025-05,199745.96000000002
07-05-2025,Upi,Food,22,2025-05,198986.96000000002
07-05-2025,Upi,Food,218,2025-05,198986.96000000002
06-05-2025,Upi,Food,60,2025-05,198746.96000000002
06-05-2025,Upi,Food,22,2025-05,198746.96000000002
05-05-2025,Upi,Food,103,2025-05,198664.96000000002
03-05-2025,Upi,Recharge,589,2025-05,198561.96000000002
02-05-2025,Upi,Rent,11670,2025-05,197972.96000000002
30-04-2025,Upi,Food,1080,2025-04,186302.96000000002
29-04-2025,Upi,Food,50,2025-04,185222.96000000002
27-04-2025,Upi,Food,72,2025-04,185172.96000000002
27-04-2025,Upi,Other,999,2025-04,185172.96000000002
26-04-2025,Upi,Food,150,2025-04,184101.96000000002
25-04-2025,Upi,Transport,389,2025-04,183951.96000000002
24-04-2025,Upi,Food,16,2025-04,183562.96000000002
23-04-2025,Upi,Food,40,2025-04,183546.96000000002
23-04-2025,Upi,Recharge,220,2025-04,183546.96000000002
23-04-2025,Upi,Household,90,2025-04,183546.96000000002
22-04-2025,Upi,Food,357,2025-04,183196.96000000002
21-04-2025,Upi,Food,11,2025-04,182839.96000000002
20-04-2025,Upi,Food,150,2025-04,182828.96000000002
20-04-2025,Upi,Transport,300,2025-04,182828.96000000002
19-04-2025,Upi,Apparel,1098,2025-04,182378.96000000002
18-04-2025,Upi,Food,265,2025-04,181280.96000000002
18-04-2025,Upi,Recharge,470.82,2025-04,181280.96000000002
18-04-2025,Upi,Transport,100,2025-04,181280.96000000002
18-04-2025,Upi,Food,50,2025-04,181280.96000000002
18-04-2025,Upi,Apparel,699,2025-04,181280.96000000002
